ID,Smiles,Standard Value,Class
1,N#Cc1cn(-c2ccc(C(=O)O)c(O)c2)cc1-c1ccco1,1.7,1
2,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccc(OCC(=O)O)cc1,2.1,1
3,N#Cc1cn(CC2CC2)c2ccc(-c3cc(C(=O)O)ccn3)cc12,2.1,1
4,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1cccc(O)c1,2.1,1
5,CC(C)COc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,2.3,1
6,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1cccc(OCCO)c1,2.4,1
7,N#Cc1cn(-c2ccc(C(=O)O)cn2)cc1-c1ccccc1,2.4,1
8,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccc(O)cc1,2.5,1
9,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1cccc(OCC(=O)O)c1,2.7,1
10,N#Cc1cn(CC2CC2)c2ccc(-n3cc(C(=O)O)cn3)cc12,2.8,1
11,CCCCCc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,2.8,1
12,CCC(C)Oc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,3,1
13,CCCCOc1ccc(-c2nc(C)c(C(=O)O)n2O)cc1C#N,3,1
14,N#Cc1cn(-c2ccc(C(=O)O)cc2)nc1NC(=O)c1ccccc1,3.1,1
15,CC(C)(C)c1nn(-c2ccc(C(=O)O)c(O)c2)cc1C#N,3.2,1
16,CCCCc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,3.3,1
17,COc1ccc(-c2n[nH]c(-c3ccncc3)n2)cc1[N+](=O)[O-],3.3,1
18,CCCCc1cn(-c2ccc(C(=O)O)c(O)c2)cc1C#N,3.3,1
19,CC(C)n1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21,3.4,1
20,CC(C)(C)COc1ccc(-n2cc(C(=O)O)cn2)cc1C#N,3.5,1
21,CCCc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,3.6,1
22,CC(C)Cc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,3.6,1
23,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccco1,3.6,1
24,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1C(=O)NCc1ccccc1,3.6,1
25,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1CCc1ccccc1,3.8,1
26,COCCn1cc(C#N)c2cc(-n3cc(C(=O)O)cn3)ccc21,3.8,1
27,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1CCc1ccco1,3.9,1
28,COc1ccc(-c2cn(-c3ccc(C(=O)O)c(O)c3)cc2C#N)cc1OC,3.9,1
29,N#Cc1cn(-c2ccc(C(=O)O)c(O)c2)c2ccc(F)cc12,3.9,1
30,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,4,1
31,COCCOc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,4,1
32,N#Cc1cn(-c2ccc(C(=O)O)c(O)c2)cc1-c1ccc(C(=O)O)cc1,4,1
33,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccc(OCCO)cc1,4,1
34,CC(C)(C)COc1ccc(-c2cc(O)nc(N)n2)cc1C#N,4,1
35,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccccc1O,4,1
36,N#Cc1cn(-c2ccc(C(=O)O)cc2)cc1-c1ccccc1OCCO,4,1
37,CCOc1cn(-c2ccc(C(=O)O)cc2)cc1C#N,4.1,1
