Number ID,Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Class,Class2,IC50convert,Class
1,,?-sitosterol,,414,,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,,,5000,,1,1,,1
2,CHEMBL95,TACRINE,4,198.27,THA,Nc1c2c(nc3ccccc13)CCCC2,IC50,'=',5000,nM,1,1,0.99135,1
3,CHEMBL3322232,,0,647.05,5a,Cl.O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,IC50,'=',0.006,nM,1,2,3.88E-06,1
4,CHEMBL4589980,,0,503.09,8,O=C(CCCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,'=',0.008,nM,1,2,4.02E-06,1
5,CHEMBL199585,,0,537.54,6b,O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,IC50,'=',0.008,nM,1,2,4.30E-06,1
6,CHEMBL4205425,,0,434.88,10h,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,IC50,'=',0.01095,nM,1,2,4.76E-06,1
7,CHEMBL4205954,,0,404.85,10e,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,IC50,'=',0.01323,nM,1,2,5.36E-06,1
8,CHEMBL4209803,,0,398.46,10j,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,IC50,'=',0.01352,nM,1,2,5.39E-06,1
9,CHEMBL4217663,,0,439.3,10f,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,IC50,'=',0.01415,nM,1,2,6.22E-06,1
10,CHEMBL4210316,,0,418.88,10g,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,IC50,'=',0.01441,nM,1,2,6.04E-06,1
