Number ID,Smiles,Standard Value,Class,Class2
1,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,5000,1,1
2,Nc1c2c(nc3ccccc13)CCCC2,5000,1,1
3,Cl.O=C(NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1ccc2nc(-c3ccc(Cl)cc3)c3c(c2c1)NCCC3,0.006,1,2
4,O=C(CCCCCCNc1c2c(nc3cccc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,0.008,1,2
5,O=C(CCCCCCNc1c2c(nc3cc(Cl)cc(Cl)c13)CCCC2)NCCc1c[nH]c2ccccc12,0.008,1,2
6,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3cccc(Cl)c3)ccc2CC1=O,0.01095,1,2
7,O=C(Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2)c1cccc(Cl)c1,0.01323,1,2
8,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(C)c2)C(=O)C3)c1,0.01352,1,2
9,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1cccc(Cl)c1,0.01415,1,2
10,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4cccc(Cl)c4)ccc3CC2=O)c1,0.01441,1,2
11,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2,0.01672,1,2
12,COc1ccccc1C(=O)N1Cc2cc(NC(=O)c3ccccc3)ccc2CC1=O,0.01893,1,2
13,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.02,1,2
14,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.02,1,2
15,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.02,1,2
16,Cc1cccc(C(=O)Nc2ccc3c(c2)CN(C(=O)c2cccc(Cl)c2)C(=O)C3)c1,0.02094,1,2
17,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1OC)C(=O)C2,0.02158,1,2
18,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(C)c1)C(=O)C2,0.02592,1,2
19,Cc1cccc(C(=O)N2Cc3cc(NC(=O)c4ccccc4)ccc3CC2=O)c1,0.02621,1,2
20,COc1ccccc1C(C)NS(N)(=O)=O,0.02685,1,2
21,COc1cccc(OC)c1C(C)NS(N)(=O)=O,0.02685,1,2
22,COc1cccc(OC)c1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.02685,1,2
23,COc1ccc(C(C)NS(N)(=O)=O)cc1OC,0.02685,1,2
24,COc1ccc(OC)c(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)c1,0.02685,1,2
25,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1OC,0.02685,1,2
26,COc1ccc(OC)c(C(C)NS(N)(=O)=O)c1,0.02685,1,2
27,COc1ccc(C(C)NS(N)(=O)=O)cc1,0.02685,1,2
28,COc1ccc(C(C)NS(=O)(=O)NC(=O)OCc2ccccc2)cc1,0.02685,1,2
29,COc1ccccc1C(C)NS(=O)(=O)NC(=O)OCc1ccccc1,0.02685,1,2
30,O=C(Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)C(=O)C2)c1ccccc1,0.02836,1,2
31,COc1ccccc1C(=O)Nc1ccc2c(c1)CN(C(=O)c1ccccc1)C(=O)C2,0.02938,1,2
32,COc1cc(O)c2c(=O)cc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)oc2c1.Cl,0.035,1,2
33,COc1ccc2[nH]cc(CCNC(=O)CCCCCCNc3c4c(nc5cc(Cl)cc(Cl)c35)CCCC4)c2c1,0.04,1,2
34,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],0.043,1,2
35,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.06,1,2
36,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2c(O)cc(O)cc2o1,0.065,1,2
37,Clc1ccc2c(NCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)c3c(nc2c1)CCCC3,0.07,1,2
38,Cl.O=C(NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)c1cc(=O)c2cc(O)c(O)cc2o1,0.09,1,2
39,O=C(CCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2)NCCc1c[nH]c2ccccc12,0.1,1,2
40,COc1ccc2oc(C(=O)NCCCCCCCCCCNc3c4c(nc5cc(Cl)ccc35)CCCC4)cc(=O)c2c1.Cl,0.1,1,2
41,O=C(Cc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.12,1,2
